t,q
1551,0.10504528
1552,0.10510656
1553,0.10516784
1554,0.10522912
1555,0.1052904
1556,0.10535168
1557,0.10541296
1558,0.10547424
1559,0.10553552
1560,0.1055968
1561,0.10565808
1562,0.10571936
1563,0.10578064
1564,0.10584192
1565,0.1059032
1566,0.10596448
1567,0.10602576
1568,0.10608704
1569,0.10614832
1570,0.1062096
1571,0.10627088
1572,0.10633216
1573,0.10639344
1574,0.10645472
1575,0.106516
1576,0.10657728
1577,0.10663856
1578,0.10669984
1579,0.10676112
1580,0.1068224
1581,0.10688368
1582,0.10694496
1583,0.10700624
1584,0.10706752
1585,0.1071288
1586,0.10719008
1587,0.10725136
1588,0.10731264
1589,0.10737392
1590,0.1074352
1591,0.10749648
1592,0.10755776
1593,0.10761904
1594,0.10768032
1595,0.1077416
1596,0.10780288
1597,0.10786416
1598,0.10792544
1599,0.10798672
1600,0.108048
1601,0.10810928
1602,0.10817056
1603,0.10823184
1604,0.10829312
1605,0.1083544
1606,0.10841568
1607,0.10847696
1608,0.10853824
1609,0.10859952
1610,0.1086608
1611,0.10872208
1612,0.10878336
1613,0.10884464
1614,0.10890592
1615,0.1089672
1616,0.10902848
1617,0.10908976
1618,0.10915104
1619,0.10921232
1620,0.1092736
1621,0.10933488
1622,0.10939616
1623,0.10945744
1624,0.10951872
1625,0.10958
1626,0.10964128
1627,0.10970256
1628,0.10976384
1629,0.10982512
1630,0.1098864
1631,0.10994768
1632,0.11000896
1633,0.11007024
1634,0.11013152
1635,0.1101928
1636,0.11025408
1637,0.11031536
1638,0.11037664
1639,0.11043792
1640,0.1104992
1641,0.11056048
1642,0.11062176
1643,0.11068304
1644,0.11074432
1645,0.1108056
1646,0.11086688
1647,0.11092816
1648,0.11098944
1649,0.11105072
1650,0.111112
1651,0.11117328
1652,0.11123456
1653,0.11129584
1654,0.11135712
1655,0.1114184
1656,0.11147968
1657,0.11154096
1658,0.11160224
1659,0.11166352
1660,0.1117248
1661,0.11178608
1662,0.11184736
1663,0.11190864
1664,0.11196992
1665,0.1120312
1666,0.11209248
1667,0.11215376
1668,0.11221504
1669,0.11227632
1670,0.1123376
